first_name,last_name,price,above_100
William,Dixon,109.03727963458523,True
Kristen,Horn,262.52465219225206,True
Kimberly,Chang,187.00725827774068,True
Mary,Ball,283.17464763656955,True
Benjamin,Craig,143.8715816881791,True
Cathy,Werner,61.508991352851325,False
Brandon,Bell,48.63730910375835,False
Paul,Farley,12.389464788592939,False
Sarah,Mcdaniel,151.59544716874203,True
Caroline,Anderson,75.62152102993683,False
Carl,Jones,147.02940469082753,True
Scott,Lee,244.18565270607758,True
Kaylee,Coleman,17.864270321996845,False
Charles,Parker,215.53728302426862,True
Susan,Hess,38.359970628717974,False
Kiara,Collier,204.18254858412087,True
Mr.,Scott,165.8514289408149,True
Christopher,Ortega,30.301445064472407,False
Michael,Russell,243.17249105103508,True
Dwayne,Johnson,287.4932856123935,True
Patty,Smith,180.23442574473592,True
Deanna,Sherman,99.79911841562617,False
Douglas,Francis,161.76889080563518,True
Vicki,Diaz,18.649876721417435,False
Robin,Phillips,244.91198356198336,True
Travis,Rice,141.4988254107795,True
Ashley,Rocha,50.00303730985961,False
Sarah,Jacobson,80.48182457363063,False
Kayla,Shannon,98.91531394497848,False
Sean,Wang,220.62821774950515,True
Richard,Estrada,49.16869151205603,False
Joseph,Torres,150.12378419766594,True
Kim,Jones,18.84343770225838,False
Melissa,Tanner,269.18402994297986,True
Jackson,Cline,64.31251721074351,False
Sonya,Foster,296.2155012166741,True
Allen,Williams,15.390831703593,False
Mr.,Thomas,95.22843715592121,False
Jamie,Silva,296.82440753934657,True
Kathleen,Moore,92.50052419128963,False
Evelyn,Pineda,169.22892925664138,True
Kyle,Peters,106.7990952132163,True
Anthony,Cruz,49.101998173197686,False
Eric,Flores,122.95569856549317,True
Anna,Richardson,254.49526058922797,True
Gary,Harper,47.59652591777343,False
Linda,Johnson,115.36278154605293,True
Melissa,Smith,87.97994845806541,False
Kristen,Floyd,135.02304134412356,True
William,Diaz,192.14913546689587,True
Benjamin,Smith,134.90529389051355,True
David,Glenn,216.29104632060702,True
Dawn,Jones,271.6144998802729,True
Joel,Smith,14.494919799933415,False
Mr.,Larry,268.6758682473656,True
Joseph,Arnold,121.7750468474434,True
Kyle,Long,241.6216391420153,True
Brittany,Day,261.54605742206627,True
Bobby,Ward,63.51303580081721,False
Thomas,Lee,254.07557711297557,True
Jennifer,Hansen,101.48873523428664,True
Lisa,Murray,176.09191738609584,True
Meghan,Wade,273.23034094310503,True
Tammie,Brooks,84.88856949195045,False
Maria,Bell,264.07466519472524,True
Allison,Livingston,130.34844264841078,True
Chris,Hays,17.342763790337447,False
Courtney,Mitchell,78.93257699026059,False
Shawn,White,188.02192560020146,True
Taylor,Gomez,225.01982371477402,True
Jeremy,Rodriguez,200.72482076620912,True
April,Garcia,66.24555967130416,False
Zachary,Watts,15.497387859732205,False
Sarah,Montoya,206.82125465342602,True
Jennifer,Barker,89.18615989096851,False
Sharon,Garza,72.3577270367147,False
Tiffany,Stevens,196.3793220138052,True
Ruben,Armstrong,93.69836737933716,False
Dr.,Jeffrey,271.16228201716683,True
Nicole,Ramsey,247.85960710449834,True
Anne,Roy,277.93248205609933,True
Lori,Sanchez,285.6616404970253,True
Allison,Chavez,126.85021100807128,True
Marcus,Adams,36.470408936676726,False
Mary,Smith,16.315071974183017,False
Joseph,Reed,178.45767424473252,True
Jason,Armstrong,26.045257464740853,False
Jeff,Armstrong,88.47561283959318,False
Sean,Shields,247.83952552279044,True
Jessica,Allison,104.7423079789625,True
Christian,Grant,99.11707916707049,False
Edward,Watson,180.35355894236386,True
Derrick,Cooke,142.09011596094248,True
Arthur,Hall,235.96697489958774,True
Sean,Patrick,139.45079943481065,True
Heather,Collins,127.39257340710478,True
Megan,Gomez,107.86244506859772,True
William,Hale,114.67092535958612,True
Olivia,Thompson,8.608441013604939,False
Lori,Torres,18.858274333009923,False
Vickie,Hernandez,214.93218067750684,True
Kimberly,Brown,40.31993270151361,False
Sherry,Meza,182.8545498809053,True
Phillip,Hansen,44.116117044254466,False
Jeanette,Knight,28.686943288269372,False
Kayla,Hanson,27.63036397054156,False
James,Johnston,284.42905543555884,True
Dr.,John,53.72799273817649,False
Elizabeth,Reyes,93.6807568419092,False
Kristen,Henry,77.0062435699163,False
Claudia,Anderson,160.34015926115842,True
Nicholas,Webb,18.71038619331413,False
Allison,Cooper,206.04210681966842,True
Zachary,Barnes,280.7741314675942,True
Gregory,Hill,265.97658083058303,True
Terry,Ayers,16.511638988306093,False
Jessica,Wilson,290.4095460874849,True
Daniel,Frazier,190.32919165960308,True
Brian,Welch,218.250508277542,True
Carol,Chavez,123.18344273633505,True
Ethan,Mcdonald,214.35031737281642,True
Gerald,Martinez,57.547863563924366,False
Eric,King,59.879264225985686,False
Sylvia,Walters,110.94631320914492,True
Jonathan,Lane,64.46710142329968,False
Matthew,Turner,180.2628702175462,True
Jeffrey,Bauer,30.51584180732109,False
Jessica,Shaffer,54.90193650996717,False
Chris,Spencer,251.37528306509915,True
Mary,Clarke,236.0529878684694,True
Timothy,Mendoza,105.98348156256873,True
Alicia,Hoffman,182.3436990317387,True
Joseph,Gardner,144.809134447454,True
Rachael,Rangel,297.94964055273493,True
Jeffrey,Harrington,194.27163383508275,True
Sophia,Randolph,158.54312598904266,True
Debbie,Freeman,275.87191674948485,True
Matthew,Braun,201.77496567973785,True
Sheri,Hudson,268.3748401506698,True
Mary,King,204.07857538584167,True
Beth,Davis,155.06806482630742,True
Margaret,Castillo,193.90632444973315,True
Tommy,Sandoval,172.28304096219406,True
Christopher,Hines,46.554352989801856,False
Richard,Wright,208.35969686386207,True
Michael,Brown,278.52308864414647,True
Nathan,Yu,134.18950975303386,True
Cameron,Ford,248.89213816817463,True
Carla,Hayes,265.3745758879461,True
Marissa,Matthews,136.09257765126094,True
Dr.,Samuel,237.1592416495993,True
Gary,Figueroa,168.94476842778406,True
Michael,West,146.88868490813215,True
Martin,Walton,140.34005756647483,True
Zachary,Lee,8.667301583326669,False
Christopher,Stephenson,67.01185632582161,False
Eric,Ortiz,117.72424575203449,True
Kara,Pittman,56.23964364259615,False
Andrew,Cowan,295.93918116436095,True
Rhonda,Moss,259.0397505024356,True
Sarah,Williams,92.82627713649636,False
Carolyn,Collins,236.24728881254813,True
Larry,Mooney,135.27017938989422,True
Laura,Livingston,294.25806990582436,True
Candace,Mckenzie,84.58145758338813,False
Candace,Wallace,124.7464542613423,True
Jason,White,218.43180413366082,True
Patricia,Reynolds,89.01176825909228,False
Michael,Ellison,244.47171060446053,True
Melissa,Robles,238.45609669548043,True
Heidi,Fry,109.62647170853651,True
James,Smith,163.95738564855034,True
Charles,Ruiz,48.45811846912089,False
Stephanie,Green,9.144974190597543,False
Stacey,Garcia,106.61920386744845,True
Glenda,Burke,206.36350632142344,True
Zachary,Alvarez,104.0523689923793,True
Rachel,Shaw,2.448211505515752,False
Carmen,Beard,269.62368497596617,True
Tony,Daniels,186.9035774579524,True
Randy,Mora,70.74105982483371,False
George,Aguirre,128.9497508227403,True
James,Miller,297.04056394395474,True
Jacqueline,Williams,17.306221558812595,False
April,Taylor,121.28989032735632,True
Robert,Johnson,131.62377790455037,True
Gary,White,280.97065059718244,True
Kim,Lowe,192.7758756466007,True
Samantha,Jones,136.34155637165566,True
Randy,Lozano,16.301049650545718,False
Arthur,Chavez,6.903795237740217,False
Melissa,Miller,162.60669447005415,True
Leslie,Mccormick,282.50210661508714,True
Carlos,Rubio,63.2180240393211,False
